Name|Descriptor|IsClassMethod|ReturnType|ParamsTypes|KeywordsTypes|BodyStartStatementId|LocalVariablesTableName
10 (funcDynamic)|11 (()V)|false|void|||193|global_MyClass3_MethodsTable_funcDynamic_LocalVariablesTable.csv
12 (funcMyClass3Static)|11 (()V)|true|void|||178|global_MyClass3_MethodsTable_funcMyClass3Static_LocalVariablesTable.csv
