ID|Type|Value
1|UTF8|Code
2|UTF8|global/Myclass
3|UTF8|rtl/NSObject
4|Class|2
5|Class|3
6|UTF8|a
7|UTF8|[I
8|UTF8|b
9|UTF8|I
10|UTF8|c
11|UTF8|str
12|UTF8|Lrtl/NSString;
13|UTF8|f
14|UTF8|d
15|UTF8|funcStatic
16|UTF8|(II)I
17|UTF8|newStatic
18|UTF8|()Lglobal/Myclass;
19|UTF8|func2Dynamic
20|UTF8|(II)V
21|NameAndType|14, 9
22|FieldRef|21, 4
23|NameAndType|6, 7
24|FieldRef|23, 4
25|Integer|44560
26|UTF8|abc
27|String|26
